Zone,Current Availability,Day of Week,time,month,Family Weekend,Home Football Game,Labor Day
38,17,0,26,9,0,0,1
22,1459,0,27,9,0,0,1
13,445,0,27,9,0,0,1
19,628,0,27,9,0,0,1
4,396,0,27,9,0,0,1
27,85,0,27,9,0,0,1
40,13,0,27,9,0,0,1
12,559,0,27,9,0,0,1
6,55,0,27,9,0,0,1
30,2,0,27,9,0,0,1
32,4,0,27,9,0,0,1
34,2,0,27,9,0,0,1
36,3,0,27,9,0,0,1
28,4,0,27,9,0,0,1
39,4,0,27,9,0,0,1
29,31,0,27,9,0,0,1
31,8,0,27,9,0,0,1
33,13,0,27,9,0,0,1
35,12,0,27,9,0,0,1
37,14,0,27,9,0,0,1
38,17,0,27,9,0,0,1
22,1459,0,28,9,0,0,1
13,445,0,28,9,0,0,1
19,628,0,28,9,0,0,1
4,396,0,28,9,0,0,1
27,85,0,28,9,0,0,1
40,13,0,28,9,0,0,1
12,559,0,28,9,0,0,1
6,55,0,28,9,0,0,1
30,2,0,28,9,0,0,1
32,4,0,28,9,0,0,1
34,2,0,28,9,0,0,1
36,3,0,28,9,0,0,1
28,4,0,28,9,0,0,1
39,4,0,28,9,0,0,1
29,31,0,28,9,0,0,1
31,8,0,28,9,0,0,1
33,13,0,28,9,0,0,1
35,12,0,28,9,0,0,1
37,14,0,28,9,0,0,1
38,17,0,28,9,0,0,1
22,1459,0,29,9,0,0,1
13,445,0,29,9,0,0,1
19,628,0,29,9,0,0,1
4,396,0,29,9,0,0,1
27,85,0,29,9,0,0,1
40,13,0,29,9,0,0,1
12,559,0,29,9,0,0,1
6,55,0,29,9,0,0,1
30,2,0,29,9,0,0,1
32,4,0,29,9,0,0,1
34,2,0,29,9,0,0,1
36,3,0,29,9,0,0,1
28,4,0,29,9,0,0,1
39,4,0,29,9,0,0,1
29,31,0,29,9,0,0,1
31,8,0,29,9,0,0,1
33,13,0,29,9,0,0,1
35,12,0,29,9,0,0,1
37,14,0,29,9,0,0,1
38,17,0,29,9,0,0,1
22,1459,0,30,9,0,0,1
13,445,0,30,9,0,0,1
19,628,0,30,9,0,0,1
4,396,0,30,9,0,0,1
27,85,0,30,9,0,0,1
40,13,0,30,9,0,0,1
12,559,0,30,9,0,0,1
6,55,0,30,9,0,0,1
30,2,0,30,9,0,0,1
32,4,0,30,9,0,0,1
34,2,0,30,9,0,0,1
36,3,0,30,9,0,0,1
28,4,0,30,9,0,0,1
39,4,0,30,9,0,0,1
29,31,0,30,9,0,0,1
31,8,0,30,9,0,0,1
33,13,0,30,9,0,0,1
35,12,0,30,9,0,0,1
37,14,0,30,9,0,0,1
38,17,0,30,9,0,0,1
22,1459,0,31,9,0,0,1
13,445,0,31,9,0,0,1
19,628,0,31,9,0,0,1
4,396,0,31,9,0,0,1
27,85,0,31,9,0,0,1
40,13,0,31,9,0,0,1
12,559,0,31,9,0,0,1
6,55,0,31,9,0,0,1
30,2,0,31,9,0,0,1
32,4,0,31,9,0,0,1
34,2,0,31,9,0,0,1
36,3,0,31,9,0,0,1
28,4,0,31,9,0,0,1
39,4,0,31,9,0,0,1
29,31,0,31,9,0,0,1
31,8,0,31,9,0,0,1
33,13,0,31,9,0,0,1
35,12,0,31,9,0,0,1
37,14,0,31,9,0,0,1
38,17,0,31,9,0,0,1
22,1459,0,32,9,0,0,1
13,445,0,32,9,0,0,1
19,628,0,32,9,0,0,1
4,396,0,32,9,0,0,1
27,85,0,32,9,0,0,1
40,13,0,32,9,0,0,1
12,559,0,32,9,0,0,1
6,55,0,32,9,0,0,1
30,2,0,32,9,0,0,1
32,4,0,32,9,0,0,1
34,2,0,32,9,0,0,1
36,3,0,32,9,0,0,1
28,4,0,32,9,0,0,1
39,4,0,32,9,0,0,1
29,31,0,32,9,0,0,1
31,8,0,32,9,0,0,1
33,13,0,32,9,0,0,1
35,12,0,32,9,0,0,1
37,14,0,32,9,0,0,1
38,17,0,32,9,0,0,1
22,1459,0,33,9,0,0,1
13,445,0,33,9,0,0,1
19,628,0,33,9,0,0,1
4,396,0,33,9,0,0,1
27,85,0,33,9,0,0,1
40,13,0,33,9,0,0,1
12,559,0,33,9,0,0,1
6,55,0,33,9,0,0,1
30,2,0,33,9,0,0,1
32,4,0,33,9,0,0,1
34,2,0,33,9,0,0,1
36,3,0,33,9,0,0,1
28,4,0,33,9,0,0,1
39,4,0,33,9,0,0,1
29,31,0,33,9,0,0,1
31,8,0,33,9,0,0,1
33,13,0,33,9,0,0,1
35,12,0,33,9,0,0,1
37,14,0,33,9,0,0,1
38,17,0,33,9,0,0,1
22,1459,0,34,9,0,0,1
13,445,0,34,9,0,0,1
19,628,0,34,9,0,0,1
4,396,0,34,9,0,0,1
27,85,0,34,9,0,0,1
40,13,0,34,9,0,0,1
12,559,0,34,9,0,0,1
6,55,0,34,9,0,0,1
30,2,0,34,9,0,0,1
32,4,0,34,9,0,0,1
34,2,0,34,9,0,0,1
36,3,0,34,9,0,0,1
28,4,0,34,9,0,0,1
39,4,0,34,9,0,0,1
29,31,0,34,9,0,0,1
31,8,0,34,9,0,0,1
33,13,0,34,9,0,0,1
35,12,0,34,9,0,0,1
37,14,0,34,9,0,0,1
38,17,0,34,9,0,0,1
22,1459,0,35,9,0,0,1
13,445,0,35,9,0,0,1
19,628,0,35,9,0,0,1
4,396,0,35,9,0,0,1
27,85,0,35,9,0,0,1
40,13,0,35,9,0,0,1
12,559,0,35,9,0,0,1
6,55,0,35,9,0,0,1
30,2,0,35,9,0,0,1
32,4,0,35,9,0,0,1
34,2,0,35,9,0,0,1
36,3,0,35,9,0,0,1
28,4,0,35,9,0,0,1
39,4,0,35,9,0,0,1
29,31,0,35,9,0,0,1
31,8,0,35,9,0,0,1
33,13,0,35,9,0,0,1
35,12,0,35,9,0,0,1
37,14,0,35,9,0,0,1
38,17,0,35,9,0,0,1
22,1459,0,36,9,0,0,1
13,445,0,36,9,0,0,1
19,628,0,36,9,0,0,1
4,396,0,36,9,0,0,1
27,85,0,36,9,0,0,1
40,13,0,36,9,0,0,1
12,559,0,36,9,0,0,1
6,55,0,36,9,0,0,1
30,2,0,36,9,0,0,1
32,4,0,36,9,0,0,1
34,2,0,36,9,0,0,1
36,3,0,36,9,0,0,1
28,4,0,36,9,0,0,1
39,4,0,36,9,0,0,1
29,31,0,36,9,0,0,1
31,8,0,36,9,0,0,1
33,13,0,36,9,0,0,1
35,12,0,36,9,0,0,1
37,14,0,36,9,0,0,1
38,17,0,36,9,0,0,1
22,1460,0,37,9,0,0,1
13,445,0,37,9,0,0,1
19,628,0,37,9,0,0,1
4,396,0,37,9,0,0,1
27,86,0,37,9,0,0,1
40,13,0,37,9,0,0,1
12,559,0,37,9,0,0,1
6,55,0,37,9,0,0,1
30,2,0,38,9,0,0,1
32,4,0,38,9,0,0,1
34,2,0,38,9,0,0,1
36,3,0,38,9,0,0,1
28,4,0,38,9,0,0,1
39,4,0,38,9,0,0,1
29,31,0,38,9,0,0,1
31,8,0,38,9,0,0,1
33,13,0,38,9,0,0,1
35,12,0,38,9,0,0,1
37,14,0,38,9,0,0,1
38,17,0,38,9,0,0,1
22,1460,0,39,9,0,0,1
13,445,0,39,9,0,0,1
19,628,0,39,9,0,0,1
4,396,0,39,9,0,0,1
27,86,0,39,9,0,0,1
40,13,0,39,9,0,0,1
12,559,0,39,9,0,0,1
6,55,0,39,9,0,0,1
30,2,0,39,9,0,0,1
32,4,0,39,9,0,0,1
34,2,0,39,9,0,0,1
36,3,0,39,9,0,0,1
28,4,0,39,9,0,0,1
39,4,0,39,9,0,0,1
29,31,0,39,9,0,0,1
31,8,0,39,9,0,0,1
33,13,0,39,9,0,0,1
35,12,0,39,9,0,0,1
37,14,0,39,9,0,0,1
38,17,0,39,9,0,0,1
22,1460,0,40,9,0,0,1
13,445,0,40,9,0,0,1
19,628,0,40,9,0,0,1
4,396,0,40,9,0,0,1
27,86,0,40,9,0,0,1
40,13,0,40,9,0,0,1
12,559,0,40,9,0,0,1
6,55,0,40,9,0,0,1
30,2,0,40,9,0,0,1
32,4,0,40,9,0,0,1
34,2,0,40,9,0,0,1
36,3,0,40,9,0,0,1
28,4,0,40,9,0,0,1
39,4,0,40,9,0,0,1
29,31,0,40,9,0,0,1
31,8,0,40,9,0,0,1
33,13,0,40,9,0,0,1
35,12,0,40,9,0,0,1
37,14,0,40,9,0,0,1
38,17,0,40,9,0,0,1
22,1460,0,41,9,0,0,1
13,445,0,41,9,0,0,1
19,628,0,41,9,0,0,1
4,396,0,41,9,0,0,1
27,86,0,41,9,0,0,1
40,13,0,41,9,0,0,1
12,559,0,41,9,0,0,1
6,55,0,41,9,0,0,1
30,2,0,41,9,0,0,1
32,4,0,41,9,0,0,1
34,2,0,41,9,0,0,1
36,3,0,41,9,0,0,1
28,4,0,41,9,0,0,1
39,4,0,41,9,0,0,1
29,31,0,41,9,0,0,1
31,8,0,41,9,0,0,1
33,13,0,41,9,0,0,1
35,12,0,41,9,0,0,1
37,14,0,41,9,0,0,1
38,17,0,41,9,0,0,1
22,1460,0,42,9,0,0,1
13,445,0,42,9,0,0,1
19,628,0,42,9,0,0,1
4,396,0,42,9,0,0,1
27,86,0,42,9,0,0,1
40,13,0,42,9,0,0,1
12,559,0,42,9,0,0,1
